,datetime,t,td,p,p0,u,vv,n,dd,ff,ww,twet,ew
0,2023-03-21 00:00:00,20.300001,17.6,1004.2,1003.1,84.0,5000.0,3.0,50.0,3.0,10.0,18.6,20.05708
1,2023-03-21 03:00:00,20.9,18.800001,1005.2,1004.0,86.0,3000.0,5.0,360.0,2.0,10.0,19.4,21.3132
2,2023-03-21 06:00:00,25.800001,18.300001,1006.4,1005.3,63.0,4000.0,3.0,40.0,4.0,5.0,21.0,21.00323
3,2023-03-21 09:00:00,27.300001,19.300001,1005.8,1004.7,62.0,4000.0,7.0,120.0,3.0,5.0,22.1,22.41583
4,2023-03-21 12:00:00,27.800001,15.5,1003.5,1002.4,47.0,7000.0,7.0,250.0,5.0,5.0,20.2,17.57531
5,2023-03-21 15:00:00,25.0,7.5,1003.9,1002.8,33.0,10000.0,2.0,60.0,4.0,,15.7,10.3741
6,2023-03-21 18:00:00,20.800001,8.2,1005.6,1004.5,44.0,10000.0,0.0,360.0,2.0,,14.2,10.8863
7,2023-03-21 21:00:00,18.5,9.2,1005.2,1004.1,55.0,10000.0,0.0,20.0,3.0,0.0,13.6,11.6336
8,2023-03-22 00:00:00,18.800001,9.1,1005.0,1003.9,53.0,8000.0,0.0,320.0,3.0,5.0,13.7,11.57561
9,2023-03-22 03:00:00,17.300001,9.7,1006.6,1005.4,61.0,10000.0,1.0,50.0,2.0,,13.3,12.05003
10,2023-03-22 06:00:00,26.1,13.8,1007.5,1006.3,47.0,10000.0,3.0,200.0,5.0,,18.8,15.81988
11,2023-03-22 09:00:00,27.300001,4.3,1006.9,1005.8,23.0,10000.0,2.0,220.0,11.0,,15.6,8.30923
12,2023-03-22 12:00:00,26.300001,5.7000003,1004.8,1003.7,27.0,10000.0,1.0,220.0,10.0,,15.6,9.13081
13,2023-03-22 15:00:00,24.7,4.6,1004.9,1003.8,27.0,3000.0,0.0,260.0,9.0,7.0,14.6,8.50723
14,2023-03-22 18:00:00,23.4,9.7,1005.6,1004.4,42.0,4000.0,0.0,260.0,9.0,5.0,15.9,12.03639
15,2023-03-22 21:00:00,22.9,4.9,1005.9,1004.8,31.0,10000.0,0.0,260.0,7.0,,13.9,8.64593
16,2023-03-23 00:00:00,21.6,0.8,1005.5,1004.4,25.0,10000.0,0.0,270.0,6.0,,12.1,6.48423
17,2023-03-23 03:00:00,20.9,-1.0,1007.1,1006.0,23.0,20000.0,1.0,260.0,5.0,,11.3,5.66503
18,2023-03-23 06:00:00,24.4,-10.900001,1009.6,1008.5,9.0,20000.0,1.0,270.0,5.0,,11.2,2.65652
19,2023-03-23 09:00:00,26.5,-9.3,1009.2,1008.0,9.0,20000.0,1.0,230.0,8.0,,12.4,3.03343
20,2023-03-23 12:00:00,26.0,0.5,1007.8,1006.6,19.0,10000.0,1.0,210.0,12.0,,14.0,6.32357
21,2023-03-23 15:00:00,23.7,4.1,1008.2,1007.1,28.0,4000.0,0.0,220.0,8.0,7.0,14.0,8.16952
22,2023-03-23 18:00:00,22.4,9.5,1009.8,1008.6,44.0,7000.0,0.0,250.0,5.0,5.0,15.4,11.84484
23,2023-03-23 21:00:00,18.6,10.2,1010.5,1009.4,58.0,7000.0,0.0,50.0,3.0,5.0,14.1,12.44955
24,2023-03-24 00:00:00,17.2,9.6,1010.4,1009.3,61.0,7000.0,0.0,330.0,3.0,5.0,13.2,11.93822
25,2023-03-24 03:00:00,17.6,11.8,1012.1,1010.9,69.0,8000.0,1.0,330.0,3.0,5.0,14.4,13.80974
26,2023-03-24 06:00:00,25.0,8.5,1013.9,1012.7,35.0,8000.0,1.0,70.0,3.0,5.0,16.1,11.08609
27,2023-03-24 09:00:00,26.7,6.3,1012.2,1011.1,27.0,8000.0,1.0,190.0,5.0,5.0,16.0,9.52685
28,2023-03-24 12:00:00,27.0,4.0,1009.1,1008.0,23.0,5000.0,1.0,200.0,6.0,5.0,15.4,8.14339
29,2023-03-24 15:00:00,24.2,12.2,1009.7,1008.6,47.0,5000.0,4.0,220.0,4.0,5.0,17.3,14.17627
30,2023-03-24 18:00:00,23.4,12.0,1010.7,1009.6,49.0,6000.0,5.0,240.0,4.0,5.0,16.9,13.99953
31,2023-03-24 21:00:00,21.0,16.0,1011.1,1010.0,73.0,6000.0,0.0,190.0,3.0,5.0,18.0,18.20694
32,2023-03-25 00:00:00,17.6,14.3,1010.6,1009.5,81.0,6000.0,0.0,10.0,3.0,10.0,15.7,16.29308
33,2023-03-25 03:00:00,17.7,15.3,1011.9,1010.8,86.0,6000.0,0.0,350.0,3.0,10.0,16.3,17.39167
34,2023-03-25 06:00:00,25.4,14.2,1013.6,1012.5,50.0,6000.0,0.0,230.0,2.0,5.0,18.7,16.13388
35,2023-03-25 09:00:00,28.1,5.1,1012.4,1011.3,23.0,6000.0,1.0,200.0,6.0,5.0,16.2,8.78906
36,2023-03-25 12:00:00,27.5,13.400001,1010.6,1009.5,42.0,6000.0,1.0,210.0,7.0,5.0,19.1,15.32417
37,2023-03-25 15:00:00,25.300001,10.7,1010.4,1009.3,40.0,8000.0,2.0,210.0,4.0,5.0,17.1,12.87573
38,2023-03-25 18:00:00,23.7,14.400001,1011.4,1010.3,56.0,7000.0,0.0,230.0,2.0,5.0,18.2,16.44914
39,2023-03-25 21:00:00,19.9,16.800001,1011.6,1010.5,82.0,7000.0,0.0,360.0,2.0,10.0,18.0,19.09387
40,2023-03-26 00:00:00,18.1,15.900001,1011.0,1009.9,87.0,5000.0,0.0,360.0,2.0,10.0,16.8,18.07213
41,2023-03-26 03:00:00,19.4,17.4,1012.5,1011.4,88.0,5000.0,0.0,360.0,2.0,10.0,18.2,19.91917
42,2023-03-26 06:00:00,27.0,16.4,1013.8,1012.7,52.0,6000.0,0.0,150.0,3.0,5.0,20.4,18.6162
43,2023-03-26 09:00:00,28.9,10.0,1012.4,1011.3,31.0,10000.0,1.0,190.0,5.0,,18.2,12.243
