iter	MAE
0	1.526175373
1	1.507253918
2	1.48935046
3	1.471875933
4	1.455336715
5	1.438086033
6	1.421407331
7	1.405255816
8	1.390097496
9	1.374612605
10	1.360458176
11	1.34590978
12	1.332616428
13	1.318823477
14	1.305434709
15	1.293443987
16	1.280572149
17	1.268086722
18	1.255848581
19	1.243648373
20	1.231115793
21	1.220911055
22	1.209019316
23	1.196467593
24	1.186217178
25	1.176722144
26	1.167110662
27	1.157910734
28	1.146890766
29	1.1361428
30	1.128035556
31	1.11807885
32	1.110541625
33	1.099507059
34	1.09284224
35	1.085746718
36	1.079163127
37	1.068901982
38	1.062857612
39	1.055972262
40	1.050483769
41	1.041234651
42	1.034960576
43	1.02588994
44	1.021008214
45	1.016245949
46	1.010372709
47	1.004303478
48	0.9980201248
49	0.9902552469
50	0.9825754471
51	0.9747423941
52	0.9673356638
53	0.9617722424
54	0.9548009421
55	0.9495383974
56	0.9439216744
57	0.9384362057
58	0.9329669356
59	0.9278117558
60	0.9220208304
61	0.9171066095
62	0.9141367873
63	0.9096788695
64	0.9033048373
65	0.8971013066
66	0.892012168
67	0.8860249502
68	0.8801905936
69	0.8746091187
70	0.8691185227
71	0.863790007
72	0.8598230989
73	0.8548977598
74	0.8499494001
75	0.8470944377
76	0.8423109052
77	0.8376672926
78	0.8332852643
79	0.8289563113
80	0.8261711085
81	0.8221116235
82	0.818278954
83	0.8151923151
84	0.8125230461
85	0.8096444724
86	0.8072533411
87	0.8035689289
88	0.7998907447
89	0.7963788037
90	0.7935190812
91	0.7905014782
92	0.7881974052
93	0.784911581
94	0.7824201851
95	0.7792704025
96	0.777666252
97	0.77598839
98	0.7740391968
99	0.7711102033
100	0.76934999
101	0.7674066306
102	0.7649474673
103	0.7628837041
104	0.7609567607
105	0.7592732908
106	0.7574565456
107	0.7547328
108	0.7520968448
109	0.7505592203
110	0.7489583033
111	0.7472802599
112	0.745161002
113	0.7436731743
114	0.7412589907
115	0.7399433932
116	0.7373989326
117	0.7352753266
118	0.7331646599
119	0.7317547799
120	0.7294856938
121	0.728297011
122	0.7261888006
123	0.7249071402
124	0.7227533611
125	0.7212047884
126	0.7194015726
127	0.7174314098
128	0.7155836659
129	0.7145301041
130	0.7124687877
131	0.7108709311
132	0.7094863896
133	0.7076773214
134	0.7061579421
135	0.7046655992
136	0.7031546538
137	0.701467337
138	0.700394769
139	0.6986524951
140	0.6969598703
141	0.6956035347
142	0.6941532078
143	0.6929114803
144	0.6915019675
145	0.6901223939
146	0.6888148125
147	0.6875282486
148	0.6863498786
149	0.6852987545
150	0.6844578972
151	0.6834124798
152	0.6822054331
153	0.6815289655
154	0.6804509904
155	0.6790488066
156	0.6779642821
157	0.676796928
158	0.6756564361
159	0.6745776452
160	0.6734836699
161	0.6724242634
162	0.6711644227
163	0.6700997184
164	0.6692015422
165	0.6679920879
166	0.6669351529
167	0.6663318976
168	0.665348198
169	0.6643171217
170	0.6634060709
171	0.6625392702
172	0.6616239145
173	0.6608025138
174	0.6598327037
175	0.6590089301
176	0.6582846279
177	0.6576271287
178	0.6566877566
179	0.6557553265
180	0.6551311113
181	0.6543083435
182	0.6536660054
183	0.65291864
184	0.6520917593
185	0.6514313512
186	0.6506576154
187	0.6499320946
188	0.6492098286
189	0.6485269581
190	0.6477278103
191	0.6470940085
192	0.646406714
193	0.6458021286
194	0.6451538444
195	0.6445153847
196	0.6438892234
197	0.6432794813
198	0.6427315061
199	0.6421047384
200	0.6416058476
201	0.6410460221
202	0.6404883469
203	0.6400335824
204	0.6394284035
205	0.6389530814
206	0.6382809014
207	0.6378901099
208	0.6374358188
209	0.6370327515
210	0.6364402816
211	0.6360050599
212	0.6355440475
213	0.6351270433
214	0.6347239147
215	0.6343098313
216	0.6339220222
217	0.6335549166
218	0.6332039616
219	0.6328876332
220	0.6324036643
221	0.6318893519
222	0.6315493715
223	0.6312811277
224	0.6308924351
225	0.6306427627
226	0.6302573939
227	0.6298323185
228	0.6294361445
229	0.629131883
230	0.6288777509
231	0.6285839268
232	0.6282950459
233	0.6279854876
234	0.6276520287
235	0.627363689
236	0.6270985456
237	0.6269658393
238	0.6266439327
239	0.6264431993
240	0.6261395328
241	0.6258629077
242	0.6255774198
243	0.6252803997
244	0.6249448114
245	0.6247092584
246	0.6243567895
247	0.6239908076
248	0.6236459236
249	0.6233584102
250	0.6230714598
251	0.6227567798
252	0.6224551615
253	0.6222549424
254	0.62204029
255	0.6218189363
256	0.6215731244
257	0.6212598965
258	0.6209303693
259	0.6206255766
260	0.6203824011
261	0.6201239077
262	0.619943508
263	0.6196614694
264	0.6194248667
265	0.6191934709
266	0.6189883876
267	0.6187841501
268	0.6186111382
269	0.6184169981
270	0.6182277165
271	0.6180693025
272	0.6177874699
273	0.6176334417
274	0.6173674468
275	0.617063451
276	0.6169047295
277	0.6167569586
278	0.6166101207
279	0.6163956503
280	0.6162198961
281	0.616077499
282	0.615974125
283	0.6158289949
284	0.6156346618
285	0.6154492768
286	0.61516962
287	0.6150338036
288	0.6149021511
289	0.6145947384
290	0.6144804589
291	0.61433421
292	0.6140885039
293	0.6139433925
294	0.6138092002
295	0.6137208688
296	0.613612325
297	0.6134662127
298	0.6132968073
299	0.6132017586
300	0.613006715
301	0.6129176004
302	0.6127841508
303	0.6126133608
304	0.6125615786
305	0.6124757575
306	0.6123378683
307	0.6122245591
308	0.61206448
309	0.6119563465
310	0.6117003693
311	0.6115608196
312	0.6114649304
313	0.6113920614
314	0.6112074568
315	0.6110318456
316	0.6108659224
317	0.6107476273
318	0.6103950298
319	0.6101609827
320	0.6099059565
321	0.6098214528
322	0.6096073781
323	0.609558699
324	0.6094485599
325	0.609214924
326	0.6090568701
327	0.6088820269
328	0.6086231201
329	0.6084980869
330	0.6082598273
331	0.6081008912
332	0.6080477186
333	0.6079424065
334	0.6078516222
335	0.6077419051
336	0.6075821643
337	0.6074620938
338	0.607358638
339	0.6070732156
340	0.6070069844
341	0.6069293744
342	0.6067825252
343	0.6067035772
344	0.6065960561
345	0.6064628877
346	0.6063543341
347	0.6062234735
348	0.6060908501
349	0.6060206067
350	0.6058210404
351	0.6057261352
352	0.605630462
353	0.6055610868
354	0.6054706889
355	0.605344983
356	0.6051470168
357	0.6049876755
358	0.604714365
359	0.6046492489
360	0.6045582783
361	0.6043531293
362	0.6042610386
363	0.6041011675
364	0.6039819016
365	0.6038635965
366	0.6037527619
367	0.6036373801
368	0.6034981261
369	0.6033872145
370	0.6032820077
371	0.6032075704
372	0.6030694515
373	0.6029910155
374	0.6028703149
375	0.6027049795
376	0.6026270198
377	0.6024824694
378	0.6023224901
379	0.6022173775
380	0.6020689316
381	0.6019938743
382	0.6018802509
383	0.6018065562
384	0.6017407264
385	0.6016213235
386	0.6013841913
387	0.6012893768
388	0.601163811
389	0.601057844
390	0.6009337383
391	0.6008361143
392	0.6007542456
393	0.6006528936
394	0.6005704638
395	0.6004825833
396	0.6003317204
397	0.6002240809
398	0.6001362812
399	0.600088436
400	0.5999855333
401	0.5999257409
402	0.5998587822
403	0.5997378147
404	0.5996487486
405	0.5995535832
406	0.5994700908
407	0.599422528
408	0.5993402429
409	0.5992620849
410	0.5991332593
411	0.5990506539
412	0.5989740835
413	0.5988226292
414	0.5987029198
415	0.598634521
416	0.5985467041
417	0.5984593907
418	0.5983241436
419	0.5982644457
420	0.598208931
421	0.5980722986
422	0.5978618492
423	0.5978083886
424	0.5976327931
425	0.5975266306
426	0.5974005067
427	0.5973322127
428	0.5972157996
429	0.597028749
430	0.5969315861
431	0.5968820621
432	0.5967383789
433	0.5966849173
434	0.5965746692
435	0.5964840477
436	0.5963293169
437	0.5962227428
438	0.5960948345
439	0.5959995379
440	0.5959216886
441	0.5958432378
442	0.5957678392
443	0.5956742883
444	0.5956048218
445	0.5955173187
446	0.595439975
447	0.5953663513
448	0.5953037698
449	0.5951056086
450	0.594988192
451	0.5948133607
452	0.5947496996
453	0.5946680973
454	0.5946142731
455	0.5945320139
456	0.5944912449
457	0.5944179152
458	0.5942928595
459	0.5941852156
460	0.5940674339
461	0.5939485361
462	0.5938837213
463	0.5937496868
464	0.5936772
465	0.5936155741
466	0.5935303561
467	0.5934058054
468	0.593304524
469	0.593248718
470	0.5931668456
471	0.5930829384
472	0.5930142812
473	0.5929197349
474	0.5928150573
475	0.5927007502
476	0.5925976959
477	0.5924977705
478	0.592415731
479	0.5923628752
480	0.5923045134
481	0.5921863575
482	0.5920671646
483	0.5918688649
484	0.5917816067
485	0.5917133493
486	0.5915249589
487	0.5914100157
488	0.5913107872
489	0.591213888
490	0.5911527657
491	0.5910684156
492	0.590965741
493	0.5908412348
494	0.5907902331
495	0.5907174918
496	0.5906005631
497	0.5905362314
498	0.5904784327
499	0.5903077031
500	0.5901556209
501	0.5900916409
502	0.5899959314
503	0.5899329742
504	0.5898756032
505	0.5898227892
506	0.5897868487
507	0.5897272917
508	0.5895960383
509	0.5894512212
510	0.5893733371
511	0.5892867946
512	0.5892624016
513	0.5891753311
514	0.5891188544
515	0.5889719724
516	0.5888649411
517	0.5887542989
518	0.5886912157
519	0.5885999563
520	0.5885417305
521	0.5884605214
522	0.5883975188
523	0.5882491882
524	0.5881936425
525	0.588149844
526	0.588085794
527	0.5880170275
528	0.5879762656
529	0.5879399853
530	0.5878675136
531	0.5878064673
532	0.5876118132
533	0.587538308
534	0.5874478636
535	0.587399095
536	0.587273692
537	0.5872061151
538	0.587059223
539	0.5870257172
540	0.5869672427
541	0.5869133181
542	0.5868709482
543	0.5868017001
544	0.5867463819
545	0.5866352456
546	0.5865889556
547	0.5865120621
548	0.5864775067
549	0.5862965226
550	0.5862380018
551	0.5861448386
552	0.5860847895
553	0.585894329
554	0.5858437903
555	0.5856993555
556	0.5856014472
557	0.5855501662
558	0.5854559349
559	0.5853355624
560	0.5852398527
561	0.5852063979
562	0.585123021
563	0.5850540508
564	0.5850214595
565	0.5849520247
566	0.5848901989
567	0.5847581896
568	0.5846976074
569	0.5846773293
570	0.5845768357
571	0.5845142007
572	0.5844485986
573	0.5844003308
574	0.5843316422
575	0.5841975751
576	0.58412457
577	0.5840940285
578	0.5840116823
579	0.5839391715
580	0.5838455091
581	0.5837641692
582	0.5836940904
583	0.5836510777
584	0.5834948793
585	0.5834393901
586	0.5832628891
587	0.5831714004
588	0.5831410583
589	0.5830198929
590	0.5829764552
591	0.5829210422
592	0.5828711617
593	0.5826614611
594	0.5825439396
595	0.5824431337
596	0.5824091566
597	0.582271383
598	0.5821743124
599	0.5820419951
600	0.5819617323
601	0.5819029862
602	0.5817560046
603	0.5816935907
604	0.581587075
605	0.5815240441
606	0.581453065
607	0.5813675824
608	0.5813282308
609	0.5812490736
610	0.5811930197
611	0.5811250555
612	0.5810669164
613	0.581016715
614	0.5809779729
615	0.5809027497
616	0.5808732659
617	0.580831084
618	0.5807777603
619	0.5806759765
620	0.5805989096
