iter	Passed	Remaining
0	3	2501
1	5	2264
2	7	2184
3	10	2229
4	14	2437
5	17	2351
6	19	2304
7	22	2262
8	24	2252
9	27	2251
10	29	2227
11	32	2203
12	34	2184
13	37	2171
14	39	2151
15	42	2151
16	45	2172
17	48	2163
18	50	2151
19	52	2138
20	55	2128
21	58	2139
22	62	2178
23	64	2172
24	67	2159
25	70	2159
26	74	2204
27	77	2221
28	80	2207
29	82	2192
30	84	2179
31	87	2168
32	91	2193
33	93	2183
34	96	2175
35	98	2163
36	100	2153
37	103	2144
38	106	2146
39	108	2137
40	111	2132
41	113	2123
42	115	2116
43	118	2109
44	120	2104
45	123	2101
46	126	2099
47	128	2091
48	131	2085
49	133	2080
50	136	2086
51	139	2082
52	142	2082
53	144	2074
54	147	2066
55	149	2062
56	152	2059
57	154	2055
58	157	2050
59	159	2045
60	162	2037
61	164	2029
62	166	2022
63	169	2018
64	172	2027
65	175	2022
66	177	2019
67	180	2014
68	183	2015
69	187	2031
70	191	2041
71	194	2038
72	196	2036
73	200	2041
74	203	2040
75	207	2051
76	210	2048
77	212	2045
78	215	2042
79	218	2041
80	221	2041
81	224	2039
82	226	2033
83	229	2028
84	231	2023
85	234	2020
86	236	2016
87	239	2011
88	241	2007
89	244	2002
90	247	2000
91	249	1995
92	251	1991
93	254	1987
94	257	1989
95	260	1983
96	262	1977
97	264	1971
98	266	1965
99	269	1959
100	271	1953
101	273	1947
102	275	1942
103	278	1936
104	280	1931
105	282	1926
106	285	1920
107	287	1915
108	289	1910
109	292	1906
110	294	1902
111	296	1898
112	302	1912
113	305	1913
114	308	1909
115	310	1904
116	312	1900
117	315	1897
118	318	1894
119	320	1892
120	323	1889
121	325	1885
122	328	1882
123	331	1880
124	334	1878
125	336	1876
126	339	1872
127	341	1867
128	343	1863
129	346	1859
130	349	1858
131	351	1854
132	354	1850
133	356	1847
134	360	1852
135	363	1849
136	365	1844
137	368	1840
138	370	1837
139	372	1832
140	375	1829
141	378	1827
142	380	1823
143	382	1819
144	385	1815
145	387	1811
146	390	1809
147	394	1813
148	398	1816
149	401	1813
150	403	1807
151	405	1801
152	408	1802
153	410	1798
154	413	1795
155	416	1792
156	418	1788
157	420	1785
158	423	1781
159	426	1781
160	429	1780
161	432	1778
162	435	1775
163	438	1774
164	441	1772
165	443	1769
166	446	1766
167	449	1764
168	451	1761
169	454	1759
170	457	1757
171	461	1761
172	471	1785
173	475	1787
174	478	1784
175	480	1781
176	483	1778
177	486	1776
178	489	1775
179	492	1772
180	495	1769
181	497	1765
182	499	1761
183	503	1762
184	506	1759
185	508	1755
186	510	1749
187	512	1744
188	514	1738
189	516	1733
190	518	1729
191	521	1727
192	523	1723
193	526	1719
194	528	1715
195	530	1711
196	533	1707
197	535	1704
198	537	1699
199	540	1696
200	542	1692
201	544	1688
202	547	1684
203	549	1680
204	551	1677
205	554	1673
206	556	1669
207	558	1666
208	561	1662
209	563	1658
210	566	1655
211	568	1652
212	571	1649
213	573	1646
214	576	1643
215	584	1656
216	587	1653
217	589	1650
218	593	1649
219	595	1645
220	597	1641
221	599	1637
222	603	1636
223	606	1636
224	609	1633
225	611	1629
226	615	1630
227	620	1632
228	624	1634
229	627	1631
230	629	1628
231	633	1628
232	636	1625
233	638	1621
234	641	1618
235	643	1614
236	645	1610
237	648	1607
238	652	1606
239	654	1604
240	657	1601
241	659	1597
242	662	1595
243	666	1596
244	670	1596
245	673	1593
246	675	1589
247	679	1589
248	682	1587
249	685	1585
250	688	1582
251	690	1578
252	692	1574
253	702	1588
254	705	1585
255	708	1581
256	710	1579
257	713	1575
258	715	1572
259	718	1569
260	720	1565
261	723	1562
262	725	1558
263	727	1554
264	730	1552
265	733	1549
266	735	1545
267	738	1542
268	740	1538
269	742	1535
270	746	1534
271	748	1531
272	752	1528
273	754	1525
274	756	1521
275	759	1518
276	763	1517
277	765	1513
278	767	1510
279	770	1507
280	774	1508
281	777	1506
282	780	1503
283	783	1500
284	785	1497
285	788	1494
286	791	1491
287	794	1489
288	799	1490
289	801	1487
290	804	1485
291	807	1482
292	819	1496
293	823	1495
294	827	1494
295	831	1494
296	833	1490
297	836	1487
298	838	1484
299	841	1481
300	845	1480
301	848	1477
302	850	1473
303	852	1470
304	855	1466
305	857	1463
306	860	1459
307	863	1457
308	865	1453
309	867	1449
310	870	1446
311	872	1443
312	875	1439
313	877	1436
314	880	1433
315	882	1429
316	884	1426
317	887	1423
318	890	1420
319	892	1417
320	895	1413
321	897	1410
322	899	1406
323	902	1403
324	906	1402
325	908	1399
326	910	1395
327	912	1391
328	914	1387
329	916	1383
330	919	1380
331	921	1377
332	931	1385
333	934	1382
334	937	1379
335	940	1377
336	942	1373
337	945	1370
338	947	1366
339	950	1363
340	952	1360
341	955	1357
342	957	1354
343	960	1350
344	962	1347
345	966	1345
346	968	1342
347	970	1339
348	972	1335
349	975	1331
350	977	1328
351	979	1324
352	982	1321
353	986	1320
354	988	1317
355	991	1314
356	993	1310
357	995	1307
358	1000	1306
359	1003	1304
360	1005	1301
361	1007	1297
362	1009	1293
363	1012	1290
364	1014	1287
365	1016	1283
366	1019	1280
367	1022	1277
368	1024	1274
369	1026	1271
370	1029	1268
371	1032	1265
372	1034	1262
373	1037	1259
374	1046	1264
375	1048	1260
376	1051	1258
377	1054	1255
378	1056	1252
379	1059	1248
380	1061	1245
381	1064	1242
382	1066	1239
383	1071	1239
384	1074	1236
385	1076	1233
386	1079	1230
387	1084	1229
388	1086	1226
389	1088	1222
390	1090	1218
391	1092	1215
392	1094	1211
393	1098	1210
394	1100	1206
395	1103	1203
396	1105	1199
397	1108	1197
398	1111	1194
399	1115	1193
400	1117	1189
401	1119	1186
402	1121	1182
403	1123	1178
404	1125	1175
405	1128	1172
406	1130	1169
407	1132	1166
408	1135	1162
409	1137	1159
410	1140	1156
411	1142	1154
412	1145	1151
413	1147	1147
414	1150	1144
415	1153	1142
416	1163	1146
417	1168	1145
418	1170	1142
419	1172	1139
420	1175	1136
421	1179	1134
422	1182	1131
423	1184	1128
424	1186	1125
425	1189	1122
426	1192	1119
427	1194	1116
428	1197	1113
429	1200	1110
430	1202	1107
431	1205	1105
432	1208	1102
433	1210	1099
434	1212	1095
435	1214	1092
436	1216	1088
437	1218	1085
438	1221	1082
439	1223	1079
440	1226	1076
441	1228	1073
442	1232	1070
443	1234	1067
444	1236	1064
445	1239	1061
446	1241	1058
447	1244	1055
448	1246	1052
449	1249	1049
450	1251	1046
451	1253	1043
452	1256	1040
453	1258	1037
454	1262	1034
455	1264	1031
456	1266	1028
457	1276	1031
458	1278	1028
459	1281	1025
460	1284	1022
461	1286	1019
462	1289	1016
463	1291	1013
464	1294	1010
465	1296	1007
466	1298	1003
467	1302	1001
468	1304	998
469	1306	995
470	1310	993
471	1313	990
472	1315	987
473	1317	983
474	1319	980
475	1322	978
476	1327	977
477	1330	974
478	1333	971
479	1335	968
480	1337	965
481	1340	962
482	1343	959
483	1345	956
484	1348	953
485	1350	950
486	1352	947
487	1355	944
488	1359	942
489	1361	939
490	1364	936
491	1366	933
492	1368	930
493	1371	927
494	1375	925
495	1378	922
496	1381	919
497	1383	916
498	1386	913
499	1388	911
500	1391	908
501	1394	905
502	1396	902
503	1399	899
504	1403	897
505	1406	895
506	1408	891
507	1411	888
508	1413	886
509	1416	883
510	1418	880
511	1421	877
512	1424	874
513	1426	871
514	1428	868
515	1432	866
516	1435	863
517	1437	860
518	1440	857
519	1442	854
520	1445	851
521	1447	848
522	1450	845
523	1452	842
524	1455	839
525	1457	836
526	1459	833
527	1462	830
528	1465	828
529	1467	825
530	1470	822
531	1472	819
532	1475	816
533	1478	813
534	1480	810
535	1482	807
536	1485	804
537	1487	801
538	1490	798
539	1498	799
540	1501	796
541	1503	793
542	1506	790
543	1509	787
544	1511	785
545	1514	782
546	1516	779
547	1519	776
548	1522	773
549	1525	770
550	1527	767
551	1529	764
552	1532	761
553	1534	759
554	1538	756
555	1540	753
556	1544	751
557	1546	748
558	1549	745
559	1552	742
560	1554	739
561	1557	737
562	1559	734
563	1562	731
564	1564	728
565	1566	725
566	1569	722
567	1572	719
568	1575	717
569	1577	714
570	1580	711
571	1584	709
572	1587	706
573	1590	703
574	1592	700
575	1594	697
576	1597	694
577	1599	691
578	1602	689
579	1605	686
580	1613	685
581	1616	683
582	1618	680
583	1621	677
584	1625	675
585	1628	672
586	1631	669
587	1634	667
588	1637	664
589	1639	661
590	1642	658
591	1644	655
592	1646	652
593	1649	649
594	1652	647
595	1654	644
596	1657	641
597	1659	638
598	1662	635
599	1665	632
600	1667	629
601	1671	627
602	1673	624
603	1676	621
604	1679	618
605	1681	616
606	1684	613
607	1686	610
608	1689	607
609	1691	604
610	1694	601
611	1696	598
612	1699	596
613	1701	593
614	1704	590
615	1706	587
616	1709	584
617	1712	581
618	1714	578
619	1717	576
620	1719	573
621	1728	572
622	1730	569
623	1733	566
624	1736	563
625	1738	560
626	1740	558
627	1743	555
628	1745	552
629	1748	549
630	1751	546
631	1753	543
632	1755	540
633	1759	538
634	1763	535
635	1766	533
636	1768	530
637	1770	527
638	1773	524
639	1775	521
640	1778	518
641	1780	515
642	1782	512
643	1785	510
644	1787	507
645	1790	504
646	1792	501
647	1795	498
648	1798	495
649	1800	493
650	1802	490
651	1805	487
652	1808	484
653	1812	482
654	1814	479
655	1817	476
656	1819	473
657	1822	470
658	1825	468
659	1827	465
660	1829	462
661	1832	459
662	1834	456
663	1843	455
664	1846	452
665	1849	449
666	1851	446
667	1854	444
668	1858	441
669	1860	438
670	1863	435
671	1865	433
672	1868	430
673	1871	427
674	1874	424
675	1877	422
676	1880	419
677	1882	416
678	1884	413
679	1887	410
680	1890	408
681	1892	405
682	1895	402
683	1897	399
684	1899	396
685	1903	393
686	1905	391
687	1908	388
688	1911	385
689	1914	382
690	1916	380
691	1919	377
692	1922	374
693	1925	371
694	1927	368
695	1929	366
696	1932	363
697	1934	360
698	1937	357
699	1940	354
700	1942	351
701	1944	349
702	1947	346
703	1950	343
704	1959	341
705	1962	339
706	1964	336
707	1969	333
708	1971	330
709	1974	328
710	1976	325
711	1979	322
712	1982	319
713	1986	317
714	1989	314
715	1991	311
716	1994	308
717	1996	305
718	1999	303
719	2002	300
720	2004	297
721	2007	294
722	2009	291
723	2012	289
724	2016	286
725	2018	283
726	2021	280
727	2023	277
728	2025	275
729	2028	272
730	2031	269
731	2034	266
732	2036	263
733	2039	261
734	2041	258
