weight_xgb,mae,rmse
0.0,6.475817010275046,9.043815861480976
0.01,6.470992179712572,9.0374951262821
0.02,6.466218796116831,9.031274370747095
0.03,6.461496874919521,9.025153801614513
0.04,6.456800196697269,9.019133622849997
0.05,6.452200609064652,9.013214035614187
0.06,6.447698998470751,9.007395238230902
0.07,6.443379798343765,9.001677426155624
0.08,6.439205475279879,8.996060791944306
0.09,6.4353268891228055,8.990545525222501
0.1,6.431599318685668,8.985131812654833
0.11,6.427945207041322,8.979819837914812
0.12,6.424291095396975,8.974609781655008
0.13,6.420636983752628,8.969501821477598
0.14,6.416982872108282,8.964496131905296
0.15,6.413356345019413,8.959592884352668
0.16,6.409798088785525,8.95479224709785
0.17,6.406239832551637,8.950094385254683
0.18,6.4026815763177485,8.945499460745273
0.19,6.399303172633531,8.941007632272962
0.2,6.396165384997343,8.936619055295779
0.21,6.393042673681604,8.93233388200031
0.22,6.389955652968686,8.928152261276056
0.23,6.386914936005961,8.92407433869024
0.24,6.383953608563095,8.920100256463117
0.25,6.380992905506342,8.916230153443772
0.26,6.378032202449592,8.91246416508641
0.27,6.375071499392842,8.908802423427167
0.28,6.372110796336089,8.905245057061425
0.29,6.369150093279338,8.901792191121684
0.3,6.366189390222586,8.898443947255943
0.31,6.363267234875957,8.895200443606639
0.32,6.360469128978166,8.892061794790138
0.33,6.357822745237066,8.889028111876794
0.34,6.355257835507002,8.886099502371573
0.35000000000000003,6.352921960450918,8.883276070195251
0.36,6.350586085394836,8.880557915666206
0.37,6.348309159408935,8.877945135482799
0.38,6.346065693507955,8.875437822706358
0.39,6.343930482476912,8.873036066744758
0.4,6.3417952714458705,8.870739953336637
0.41000000000000003,6.339660060414829,8.868549564536206
0.42,6.337552898315575,8.866464978698707
0.43,6.3356123689511765,8.864486270466488
0.44,6.333728100560707,8.862613510755725
0.45,6.331843832170239,8.860846766743787
0.46,6.329959563779769,8.859186101857249
0.47000000000000003,6.328075295389301,8.857631575760548
0.48,6.326256696585365,8.85618324434532
0.49,6.324534948277634,8.854841159720381
0.5,6.322813199969905,8.853605370202382
0.51,6.321091451662172,8.85247592030713
0.52,6.31936970335444,8.851452850741598
0.53,6.317729102090498,8.850536198396593
0.54,6.316166518253122,8.849725996340121
0.55,6.314895959818799,8.849022273811425
0.56,6.313803951458427,8.84842505621572
0.5700000000000001,6.312721580052174,8.847934365119608
0.58,6.31178978187258,8.847550218247177
0.59,6.310875659979451,8.847272629476823
0.6,6.309961538086319,8.847101608838718
0.61,6.309147862190846,8.84703716251302
0.62,6.308364906212306,8.847079292828742
0.63,6.307581950233766,8.847227998263332
0.64,6.306823240089009,8.847483273442961
0.65,6.306303746690186,8.847845109143483
0.66,6.3058309051538,8.848313492292096
0.67,6.305468366361711,8.84888840596972
0.68,6.305155078136719,8.849569829414037
0.6900000000000001,6.304967791864498,8.850357738023243
0.7000000000000001,6.305070037771404,8.851252103360489
0.71,6.305183549702172,8.852252893159003
0.72,6.305313069978817,8.853360071327906
0.73,6.305650291811119,8.854573597958709
0.74,6.306034798898203,8.855893429332495
0.75,6.306441116447041,8.85731951792778
0.76,6.306892284394716,8.858851812429034
0.77,6.30734345234239,8.8604902577359
0.78,6.307875310397895,8.862234794973068
0.79,6.308408112886122,8.864085361500795
0.8,6.3090207465463255,8.866041890926127
0.81,6.30969204178151,8.86810431311473
0.8200000000000001,6.310383589404718,8.870272554203396
0.8300000000000001,6.311201127667577,8.872546536613198
0.84,6.312071461888495,8.87492617906327
0.85,6.31311831122359,8.877411396585222
0.86,6.314165160558683,8.880002100538187
0.87,6.315212009893778,8.882698198624498
0.88,6.316258859228873,8.885499594905966
0.89,6.317305708563966,8.888406189820767
0.9,6.3183686279305435,8.891417880200942
0.91,6.319621027883431,8.894534559290486
0.92,6.321157822453911,8.897756116764016
0.93,6.322991357994206,8.901082438746029
0.9400000000000001,6.324878266554558,8.904513407830734
0.9500000000000001,6.32676623921369,8.90804890310244
0.96,6.328701619954286,8.911688800156492
0.97,6.330649163839191,8.915432971120786
0.98,6.332623777235385,8.919281284677789
0.99,6.3346411567087975,8.923233606087098
1.0,6.336711754027778,8.927289797208543
