,target_wind_speed,pred_xgb
117753,5.0,5.509674
117754,0.0,6.5592628
117755,9.0,6.0452995
117756,11.0,10.005438
117757,11.0,9.63895
117758,34.0,9.994914
117759,17.0,26.257748
117760,18.0,16.461847
117761,39.0,18.50269
117762,50.0,31.48858
117763,61.0,37.55748
117764,24.0,40.786358
117765,54.0,30.967588
117766,55.0,45.25403
117767,34.0,45.126797
117768,18.0,39.92921
117769,24.0,30.404278
117770,30.0,32.616188
117771,46.0,32.650463
117772,46.0,42.615486
117773,41.0,45.96467
117774,11.0,43.143265
117775,8.0,25.091425
117776,15.0,16.7125
117777,22.0,15.196411
117778,30.0,18.175945
117779,41.0,26.241968
117780,11.0,33.004868
117781,26.0,19.650213
117782,48.0,25.377731
117783,50.0,40.58288
117784,43.0,43.899925
117785,5.0,41.95096
117786,22.0,21.051424
117787,55.0,20.481829
117788,52.0,32.74725
117789,43.0,44.41037
117790,17.0,40.45208
117791,65.0,25.404743
117792,63.0,51.5431
117793,39.0,53.495876
117794,32.0,45.530422
117795,32.0,38.19167
117796,30.0,35.883003
117797,32.0,33.755375
117798,34.0,32.11908
117799,34.0,33.17945
117800,35.0,30.73137
117801,32.0,31.831884
117802,26.0,29.078613
117803,24.0,25.41739
117804,17.0,25.270695
117805,35.0,21.569744
117806,35.0,32.892094
117807,39.0,33.423706
117808,37.0,32.884132
117809,35.0,35.52968
117810,37.0,34.591316
117811,32.0,36.88869
117812,30.0,31.038631
117813,28.0,28.945955
117814,24.0,27.708176
117815,22.0,23.324097
117816,18.0,21.65642
117817,15.0,18.274826
117818,15.0,13.857574
117819,11.0,12.234644
117820,5.0,10.807985
117821,22.0,7.697011
117822,39.0,20.858742
117823,30.0,33.233402
117824,32.0,31.324406
117825,37.0,27.679272
117826,37.0,34.488518
117827,28.0,37.26063
117828,26.0,29.591099
117829,43.0,25.650646
117830,26.0,35.35965
117831,34.0,27.790823
117832,39.0,31.410538
117833,37.0,36.794186
117834,26.0,36.452335
117835,34.0,27.814495
117836,24.0,30.161482
117837,48.0,26.081285
117838,34.0,37.61778
117839,28.0,35.00059
117840,41.0,30.724995
117841,41.0,40.314316
117842,39.0,40.490593
117843,35.0,39.52734
117844,21.0,39.920353
117845,41.0,28.44191
117846,50.0,36.001385
117847,41.0,43.241207
117848,34.0,37.212513
117849,26.0,32.068546
117850,26.0,25.159266
117851,28.0,24.421167
117852,37.0,25.741188
117853,35.0,31.847973
117854,45.0,33.20538
117855,34.0,32.249702
117856,45.0,31.92301
117857,41.0,35.36151
117858,32.0,36.24005
117859,41.0,31.635706
117860,32.0,32.04675
117861,34.0,30.256323
117862,35.0,28.5859
117863,54.0,32.97141
117864,34.0,42.44186
117865,46.0,36.8147
117866,22.0,42.457603
117867,46.0,32.590813
117868,32.0,39.266735
117869,48.0,36.317142
117870,61.0,44.613766
117871,68.0,44.675484
117872,50.0,50.772705
117873,55.0,51.892246
117874,41.0,46.473175
117875,41.0,39.974113
117876,34.0,35.366016
117877,58.0,32.62905
117878,61.0,42.46264
117879,61.0,48.040558
117880,63.0,47.827892
117881,45.0,51.935932
117882,39.0,40.31526
117883,17.0,36.827293
117884,13.0,23.64999
117885,58.0,21.516111
117886,61.0,36.780315
117887,34.0,46.411804
117888,39.0,38.746334
117889,32.0,39.085342
117890,28.0,36.389412
117891,32.0,29.814674
117892,39.0,32.456463
117893,35.0,40.006344
117894,50.0,38.56365
117895,43.0,42.455784
117896,41.0,39.54445
117897,28.0,37.847454
117898,21.0,30.608719
117899,41.0,25.207586
117900,45.0,37.23387
117901,45.0,38.433887
117902,48.0,34.792156
117903,54.0,37.197845
117904,34.0,39.032753
117905,52.0,33.890472
117906,59.0,40.920082
117907,39.0,42.73719
117908,37.0,38.06241
117909,50.0,40.36676
117910,48.0,42.39082
117911,34.0,41.662277
117912,32.0,38.569935
117913,30.0,37.988213
117914,35.0,37.669228
117915,39.0,41.558746
117916,41.0,40.58659
117917,30.0,40.24395
117918,28.0,35.773365
117919,26.0,33.006405
117920,22.0,28.961037
117921,5.0,24.13609
117922,9.0,14.13164
117923,4.0,14.319891
117924,15.0,11.057598
117925,13.0,12.915557
117926,11.0,12.804995
117927,11.0,11.3240595
117928,11.0,10.618934
117929,13.0,11.225195
117930,11.0,12.402405
117931,13.0,10.918509
117932,15.0,12.4831295
117933,11.0,13.613392
117934,21.0,11.785885
117935,15.0,17.833874
117936,17.0,14.865458
117937,18.0,15.746601
117938,21.0,19.460802
117939,26.0,21.696629
117940,30.0,28.333712
117941,32.0,31.79952
117942,30.0,32.813263
117943,28.0,31.807932
117944,30.0,27.965113
117945,30.0,28.217295
117946,34.0,27.549232
117947,26.0,28.40482
117948,26.0,25.346325
117949,28.0,26.011375
117950,22.0,26.346848
117951,22.0,23.35844
117952,22.0,23.760994
117953,26.0,21.611437
117954,24.0,25.443975
